writer_id,writer_name
963,Benno Vigny
964,Helen Simpson
965,Frank Mandel
966,Audrey Carter
967,Waverly Carter
968,Faith Baldwin
969,Frederick Hazlitt Brennan
970,Melville Baker
971,Sutton Vane
972,Josep Carner Ribalta
973,Joseph L. Mankiewicz
974,Edwin Balmer
975,George Draney
976,Martin Flavin
977,Charles Spaak
978,Frances Nordstrom
979,Viña Delmar
980,Harald Bergstedt
981,Sigizmund Krzhizhanovsky
982,Georg Wilhelm Pabst
983,Billy K. Wells
984,Louis Bromfield
985,Maurice Marks
986,Albert C. Fuller
987,Jack Nelson
988,André Armandy
989,Sax Rohmer
990,Dodson Mitchell
991,F. Hugh Herbert
992,Robert Bodanzky
993,Jean Nohain
994,Antoinette Nordmann
995,H.H. Van Loan
996,Lolita Ann Westman
997,Jean Cocteau
998,Zoe Akins
999,Dorothy Yost
1000,Dale Collins
1001,Robert Milton
1002,Marie Baumer
1003,Elliott Nugent
1004,J.C. Nugent
1005,De Leon Anthony
1006,Kôgo Noda
1007,Oscar Schisgall
1008,Rube Goldberg
1009,Jimmy Starr
1010,Egerton Castle
1011,Egon Erwin Kisch
1012,H.V. Esmond
1013,B. Harrison Orkow
1014,Brian Hooker
1015,Alfred Block
1016,Albert Richard Wetjen
1017,Ernst Johannsen
1018,Edwin Bateman Morris
1019,Earl Baldwin
1020,Robert Presnell Sr.
1021,Salvador Dalí
1022,Louis Weitzenkorn
1023,Joseph David
1024,George Arliss
1025,Mary Hamlin
1026,John E. Goodson
1027,Theodore Dreiser
1028,Samuel Hoffenstein
1029,Wesley Ruggles
1030,Howard Estabrook
1031,Edward Childs Carpenter
1032,Laurence E. Johnson
1033,Brian Marlow
1034,Edwin H. Knopf
1035,Ladislas Fodor
1036,Alan Schultz
1037,Karl Hartl
1038,Luis Trenker
1039,Alfred Döblin
1040,Patricia Reilly
1041,H.N. Swanson
1042,Kubec Glasmon
1043,John Bright
1044,Fritz Reck-Malleczewen
1045,Jenö Heltai
1046,Ernest Pascal
1047,Maude Fulton
1048,H.M. Walker
1049,Douglas MacLean
1050,A. Hamilton Gibbs
1051,Harry Hervey
1052,Georges de La Fouchardière
1053,Jean Renoir
1054,Betty Burbridge
1055,Dashiell Hammett
1056,Tristan Bernard
1057,John Farrow
1058,Bill Cunningham
1059,Walton Green
1060,Fred Niblo Jr.
1061,Aurania Rouverol
1062,Alexander Engel
1063,Alfred Grünwald
1064,Cyril Hume
1065,Pamela Wynne
1066,Leon Gordon
1067,Hamilton Deane
1068,Baltasar Fernández Cué
1069,Bertolt Brecht
1070,Léo Lania
1071,Eugene Walter
1072,Mrs. Henry Wood
1073,David Freedman
1074,Erich Kästner
1075,Wilson Collison
1076,Arthur Kober
1077,Ray Harris
1078,Herbert Fields
1079,E. Ray Goetz
1080,Edward E. Paramore Jr.
1081,Jean Boyer
1082,Camille Flammarion
1083,John L. Balderston
1084,Mary Shelley
1085,Maurice Dekobra
1086,Charles MacArthur
1087,Helmer Walton Bergman
1088,Ford Beebe
1089,Alfred Jackson
1090,Raymond Griffith
1091,Mary McCall
1092,Leo Ditrichstein
1093,Frederic Hatton
1094,Charles Brabin
1095,Jo Milward
1096,J. Kirby Hawks
1097,Rudolph Bernauer
1098,Rudolf Österreicher
1099,Max Brand
1100,Myron C. Fagan
1101,Austin Parker
1102,Károly Nóti
1103,István Zágon
1104,Roland Pertwee
1105,Houston Branch
1106,Edith Fitzgerald
1107,Robert Riskin
1108,Carl Haensel
1109,Peter Martin Lampel
1110,Louis Sarecky
1111,Henry Martyn Blossom
1112,Ernest Booth
1113,Komatsu Kitamura
1114,Leopold Jacobson
1115,Felix Dormann
1116,Mario Peixoto
1117,A.H. Woods
1118,H.M. Harwood
1119,Ludwig Hirschfeld
1120,Ernst Neubach
1121,Marcel Pagnol
1122,Robert Carson
1123,Donald Henderson Clarke
1124,Georges Berr
1125,John Meehan
1126,S.J. Perelman
1127,Will B. Johnstone
1128,Scott Darling
1129,Charles Beahan
1130,Rufus King
1131,Herbert A. Jones
1132,Christa Winsloe
1133,Friedrich Dammann
1134,Erich Engels
1135,Richard Weil
1136,George Randolph Chester
1137,Grace Perkins
1138,Daisuke Itô
1139,Eiji Yoshikawa
1140,Georges Feydeau
1141,Béla Balázs
1142,Howard Higgin
1143,Eddie Cantor
1144,C.W. Bell
1145,Alan James
1146,Harry Chandlee
1147,Douglas W. Churchill
1148,Zelda Sears
1149,George Goodchild
1150,Bernard Schubert
1151,Nikolai Ekk
1152,Anton Makarenko
1153,Milton Krims
1154,Arthur Richman
1155,Florence Ryerson
1156,Niven Busch
1157,Erwin Gelsey
1158,Gilbert Parker
1159,Denise Robins
1160,Robert E. Sherwood
1161,Donald W. Lee
1162,Federico Gamboa
1163,Carlos Noriega Hope
1164,James Parker Jr.
1165,Charles G. Norris
1166,Cyril Twyford
1167,George Landy
1168,Rex Taylor
1169,John Galsworthy
1170,Percy Crosby
1171,Sam Mintz
1172,Perry N. Vekroff
1173,W.P. Lipscomb
1174,Dana Burnet
1175,Elmer Rice
1176,Preston Sturges
1177,George L. Du Maurier
1178,F.W. Murnau
1179,Robert J. Flaherty
1180,Mildred Cram
1181,Fanny Hatton
1182,Ethelreda Lewis
1183,Lynn Starling
1184,Kate Jordan
1185,Frank Mitchell Dazey
1186,Bruno Granichstaedten
1187,Ernst Marischka
1188,Imre Földes
1189,Dwight Taylor
1190,Maurice Leblanc
1191,William Ford Manley
1192,Ward Morehouse
1193,Marion Jackson
1194,Kurt Kempler
1195,Harry Wagstaff Gribble
1196,Richard Walton Tully
1197,Wells Root
1198,Leni Riefenstahl
1199,Howard J. Green
1200,Forrest Wilson
1201,S.K. Lauren
1202,Walter Reisch
1203,René Fauchois
1204,Maurice Rostand
1205,Reginald Berkeley
1206,Harry Adler
1207,Paul Green
1208,Harry Harrison Kroll
1209,Tiffany Thayer
1210,Don Ryan
1211,Wilson Mizner
1212,Larry Barretto
1213,Roland Dorgelès
1214,Rian James
1215,R. Gore Brown
1216,Maurice Rapf
1217,Robert Tasker
1218,John Gilbert
1219,Robert Horky
1220,Frantisek Horký
1221,Courtney Terrett
1222,Ray Enright
1223,Corey Ford
1224,Francis M. Cockrell
1225,Georges Courteline
